Event	ID	Name			Wwise Object Path	Notes
	133505754	npcPhone			\Default Work Unit\NPCs\npcPhone	
	216426317	npcBen			\Default Work Unit\NPCs\npcBen	
	315848864	npcTina			\Default Work Unit\NPCs\npcTina	
	425063146	diveWrong			\Default Work Unit\Player\diveWrong	
	1122283870	musicStart			\Default Work Unit\Music\musicStart	
	1157041911	npcWally			\Default Work Unit\NPCs\npcWally	
	1229279613	diveStart			\Default Work Unit\Player\diveStart	
	1336322353	testDing			\Default Work Unit\UI\testDing	
	1435302941	testFail			\Default Work Unit\UI\testFail	
	1618867687	diveFail			\Default Work Unit\Player\diveFail	
	1776921608	testComplete			\Default Work Unit\UI\testComplete	
	2097039607	murderShots			\Default Work Unit\Objects\murderShots	
	2124506477	npcKevin			\Default Work Unit\NPCs\npcKevin	
	2610950761	gunCock			\Default Work Unit\Objects\gunCock	
	2626890067	neonFlicker			\Default Work Unit\Objects\neonFlicker	
	2973970440	diveSuccess			\Default Work Unit\Player\diveSuccess	
	3171753105	neonStartGame			\Default Work Unit\Objects\neonStartGame	
	3988978802	npcBarkeep			\Default Work Unit\NPCs\npcBarkeep	
	3989513603	footStepping			\Default Work Unit\Player\footStepping	
	4041656984	npcTalk			\Default Work Unit\NPCs\npcTalk	
	4051332235	buttonClick			\Default Work Unit\UI\buttonClick	
	4058101365	gameStart			\Default Work Unit\UI\gameStart	
	4101721491	npcVinnie			\Default Work Unit\NPCs\npcVinnie	
	4122450220	enterBar			\Default Work Unit\UI\enterBar	

Switch Group	ID	Name			Wwise Object Path	Notes
	3858903546	characterSwitch			\Default Work Unit\characterSwitch	

Switch	ID	Name	Switch Group			Notes
	385597812	switchKevin	characterSwitch			
	1025251668	switchVinnie	characterSwitch			
	2596618219	switchBarkeep	characterSwitch			
	3053756386	switchWally	characterSwitch			
	3469465608	switchBen	characterSwitch			
	3661604879	switchPhone	characterSwitch			
	3928776531	switchTina	characterSwitch			

State Group	ID	Name			Wwise Object Path	Notes
	185713839	roomState			\Default Work Unit\roomState	

State	ID	Name	State Group			Notes
	438105790	outside	roomState			
	748895195	None	roomState			
	3553349781	inside	roomState			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4833183	VocalsWally-003	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\VocalsWally-003_7316207B.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsWally\VocalsWally-003		7056
	21251891	vocalsKevin-003	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\vocalsKevin-003_563DD58F.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsKevin\vocalsKevin-003		5204
	52227454	neonSustain	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\neonSustain_FED175CC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\neonSign\neonFlickers\neonSustain		402457
	53288716	vocalsKevin-001	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\vocalsKevin-001_F34FEF3F.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsKevin\vocalsKevin-001		4612
	56598575	vocalsBarkeep2-007	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\vocalsBarkeep2-007_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsBarkeep\vocalsBarkeep2-007		14403
	64071679	vocalsTina2-004	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\vocalsTina2-004_08B47BC6.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsTina\vocalsTina2-004		5983
	84863909	vocalsTina2-003	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\vocalsTina2-003_DF39ADDA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsTina\vocalsTina2-003		5725
	92909319	vocalsKevin-006	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\vocalsKevin-006_C8C15967.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsKevin\vocalsKevin-006		5374
	100112895	VocalsWally-004	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\VocalsWally-004_066B5527.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsWally\VocalsWally-004		6559
	121403949	VocalsWally-008	D:\Game_Production\UnityProjects\Brackeys2023-2\Brackeys2023-2_WwiseProject\.cache\Mac\SFX\VocalsWally-008_8DF222D7.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\dialogueSwitcher\vocalsWally\VocalsWally-008		6837
